,Value
Annual Arithmetic Return,-1.756562
CAGR,-0.82853
Cumulative Return,-0.019139
Annual Volatility,0.081982
Max Drawdown,-0.019139
Average Drawdown,-0.015096
Sharpe Ratio,-21.426084
Sortino Ratio,-32.26432
Calmar Ratio,-91.779941
Omega Ratio,0.0
Return Skewness,-0.247097
Return Kurtosis,-0.715148
VaR 5%,-0.009459
VaR 1%,-0.009932
Top 5%,-0.000464
Top 1%,-9.3e-05
Stability,0.943448
