,Value
Annual Arithmetic Return,-0.181967
CAGR,-0.180264
Cumulative Return,-0.094854
Annual Volatility,0.182668
Max Drawdown,-0.204815
Average Drawdown,-0.092908
Sharpe Ratio,-0.996162
Sortino Ratio,-1.146466
Calmar Ratio,-0.888448
Omega Ratio,0.844223
Return Skewness,-1.330653
Return Kurtosis,12.16907
VaR 5%,-0.011168
VaR 1%,-0.024455
Top 5%,0.01191
Top 1%,0.025513
Stability,0.654029
